SurfaceDateTime(local),Spot,Underlying,IsFx,Default Fit,Object for Under,Model,Start Date,End Date,Var from Surface (0 Basis),Var from surface + (T-1) Basis,,Var from Surface (0 Basis),Marked Var,Marked Var,Marked Basis,,,Leader/Follower,,Old Marked Var Fn,New Market Var Fn,
#VALUE!,#VALUE!,DEDZ7,Eq,#VALUE!,#VALUE!,#VALUE!,,12/15/2017,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,DEDZ7,Leader,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,DEDZ8,Eq,#VALUE!,#VALUE!,#VALUE!,,12/21/2018,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,DEDZ8,Leader,,,#VALUE!,#VALUE!
 4/1/2016 4:00:00 PM   _3348,1.1345,EURUSD WMCO,FX,SVI, EURUSD WMCO   _3070,SVI,,6/18/2016,10.1%,#VALUE!,,10.2%,,9.97%,-0.2%,,EURUSD WMCO,Leader,,,9.97%,0.00%
 4/1/2016 4:00:00 PM   _3349,1.1345,EURUSD WMCO,FX,SVI, EURUSD WMCO   _3071,SVI,,12/17/2016,10.6%,#VALUE!,,10.5%,,10.83%,0.3%,,,Leader,,,10.83%,0.00%
 3/31/2016 11:40:00 AM   _3350,17776.84,FTSEMIB,Eq,SVI, FTSEMIB   _3072,SVI,,6/18/2016,32.1%,#VALUE!,,31.4%,,30.78%,-0.7%,,FTSEMIB,Leader,,,30.78%,0.00%
 4/1/2016 4:00:00 PM   _3351,1.41885,GBPUSD WMCO,FX,SVI, GBPUSD WMCO   _3074,SVI,,6/18/2016,14.8%,#VALUE!,,14.9%,,11.40%,-3.5%,,GBPUSD WMCO,Leader,,,11.40%,0.00%
 4/1/2016 4:00:00 PM   _3352,1.41885,GBPUSD WMCO,FX,SVI, GBPUSD WMCO   _3073,SVI,,12/17/2016,14.9%,#VALUE!,,14.8%,,14.07%,-0.7%,,,Leader,,,14.07%,0.00%
 4/1/2016 3:44:24 PM   _3353,116.93,GLD UP,Eq,SVI, GLD UP   _3075,SVI,,6/17/2016,18.3%,#VALUE!,,18.4%,,19.08%,0.7%,,GLD UP,Leader,,,19.08%,0.00%
 4/1/2016 3:44:24 PM   _3354,116.93,GLD UP,Eq,SVI, GLD UP   _3077,SVI,,1/20/2017,19.6%,#VALUE!,,19.8%,,20.32%,0.5%,,,Leader,,,20.32%,0.00%
 4/1/2016 3:44:46 PM   _3355,81.37,HYG UP,Eq,Steffen, HYG UP   _3076,Steffen,,6/17/2016,12.6%,#VALUE!,,12.9%,,13.45%,0.6%,,HYG UP,Leader,,,13.45%,0.00%
 4/1/2016 3:44:08 PM   _3356,110.14,IEF UP,Eq,Steffen, IEF UP   _3078,Steffen,,4/15/2016,5.2%,#VALUE!,,6.1%,,6.60%,0.5%,,IEF UP,Leader,,,6.60%,0.00%
#VALUE!,#VALUE!,NIZ6,Eq,#VALUE!,#VALUE!,#VALUE!,,12/9/2016,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,NIZ6,Leader,,,#VALUE!,#VALUE!
#VALUE!,#VALUE!,NIZ7,#N/A,#VALUE!,#N/A,#VALUE!,,12/8/2017,#VALUE!,#VALUE!,,#VALUE!,,,#VALUE!,,NIZ7,Leader,,,#VALUE!,#VALUE!
 4/1/2016 3:15:00 PM   _3357,16164.16,NKY,Eq,SVI, NKY   _3079,SVI,,4/8/2016,29.2%,#VALUE!,,22.2%,,21.08%,-1.1%,,NKY,Leader,,,21.08%,0.00%
 4/1/2016 3:15:00 PM   _3358,16164.16,NKY,Eq,SVI, NKY   _3080,SVI,,6/10/2016,28.8%,#VALUE!,,25.1%,,24.93%,-0.1%,,,Leader,,,24.93%,0.00%
 4/1/2016 3:15:00 PM   _3359,16164.16,NKY,Eq,SVI, NKY   _3081,SVI,,9/9/2016,29.2%,#VALUE!,,26.4%,,25.87%,-0.5%,,,Leader,,,25.87%,0.00%
 4/1/2016 3:15:00 PM   _3360,16164.16,NKY,Eq,SVI, NKY   _3082,SVI,,12/9/2016,30.1%,#VALUE!,,27.3%,,26.70%,-0.6%,,,Leader,,,26.70%,0.00%
 4/1/2016 3:15:00 PM   _3361,16164.16,NKY,Eq,SVI, NKY   _3083,SVI,,1/13/2017,30.2%,#VALUE!,,27.5%,,26.90%,-0.6%,,,Leader,,,26.90%,0.00%
 4/1/2016 3:15:00 PM   _3362,16164.16,NKY,Eq,SVI, NKY   _3084,SVI,,3/10/2017,30.3%,#VALUE!,,27.6%,,27.15%,-0.5%,,,Leader,,,27.15%,0.00%
 4/1/2016 3:15:00 PM   _3363,16164.16,NKY,Eq,SVI, NKY   _3085,SVI,,6/9/2017,30.4%,#VALUE!,,28.0%,,27.46%,-0.5%,,,Leader,,,27.46%,0.00%
 4/1/2016 3:15:00 PM   _3364,16164.16,NKY,Eq,SVI, NKY   _3086,SVI,,9/8/2017,30.2%,#VALUE!,,28.0%,,27.65%,-0.4%,,,Leader,,,27.65%,0.00%
 4/1/2016 3:15:00 PM   _3365,16164.16,NKY,Eq,SVI, NKY   _3087,SVI,,12/8/2017,30.3%,#VALUE!,,28.3%,,27.75%,-0.5%,,,Leader,,,27.75%,0.00%
 4/1/2016 3:15:00 PM   _3366,16164.16,NKY,Eq,SVI, NKY   _3088,SVI,,6/8/2018,30.2%,#VALUE!,,28.5%,,27.73%,-0.8%,,,Leader,,,27.73%,0.00%
 4/1/2016 3:15:00 PM   _3367,16164.16,NKY,Eq,SVI, NKY   _3089,SVI,,12/14/2018,30.2%,#VALUE!,,28.8%,,27.57%,-1.2%,,,Leader,,,27.57%,0.00%
 4/1/2016 3:15:00 PM   _3368,16164.16,NKY,Eq,SVI, NKY   _3090,SVI,,6/14/2019,30.4%,#VALUE!,,29.1%,,27.71%,-1.4%,,,Leader,,,27.71%,0.00%
 4/1/2016 3:15:00 PM   _3369,16164.16,NKY,Eq,SVI, NKY   _3091,SVI,,12/13/2019,30.6%,#VALUE!,,29.4%,,27.83%,-1.6%,,,Leader,,,27.83%,0.00%
 4/1/2016 3:15:00 PM   _3370,16164.16,NKY,Eq,SVI, NKY   _3092,SVI,,12/11/2020,30.9%,#VALUE!,,29.8%,,27.67%,-2.1%,,,Leader,,,27.67%,0.00%
 4/1/2016 4:00:00 PM   _3371,111.62,USDJPY,FX,SVI, USDJPY   _3093,SVI,,9/9/2016,10.8%,#VALUE!,,10.7%,,11.56%,0.8%,,USDJPY,Leader,,,11.56%,0.00%
